zip,primary_city,state,area_codes,country
34039,Dpo,AA,,US
34041,Dpo,AA,,US
34042,Apo,AA,,HN
34043,Apo,AA,,US
34050,Fpo,AA,,US
34055,Dpo,AA,,US
34058,Fpo,AA,,BS
34060,Dpo,AA,,US
34071,Apo,AA,,PY
34076,Apo,AA,,EC
34078,Apo,AA,,US
34079,Fpo,AA,,US
34090,Fpo,AA,,US
34091,Fpo,AA,,US
34092,Fpo,AA,,US
34093,Fpo,AA,,US
34095,Fpo,AA,,US
34098,Fpo,AA,,US
34099,Fpo,AA,,US
34101,Naples,FL,239,US
34102,Naples,FL,"2,39,941",US
34103,Naples,FL,239,US
34104,Naples,FL,239,US
34105,Naples,FL,239,US
34106,Naples,FL,239,US
34107,Naples,FL,239,US
34108,Naples,FL,"2,39,941",US
34109,Naples,FL,"5,61,239",US
34110,Naples,FL,"3,52,239",US
34112,Naples,FL,239,US
34113,Naples,FL,239,US
34114,Naples,FL,239,US
34116,Naples,FL,239,US
34117,Naples,FL,239,US
34119,Naples,FL,239,US
34120,Naples,FL,239,US
34133,Bonita Springs,FL,239,US
34134,Bonita Springs,FL,239,US
34135,Bonita Springs,FL,941,US
34136,Bonita Springs,FL,239,US
34137,Copeland,FL,239,US
34138,Chokoloskee,FL,239,US
34139,Everglades City,FL,239,US
34140,Goodland,FL,239,US
34141,Ochopee,FL,239,US
34142,Immokalee,FL,"2,39,941",US
34143,Immokalee,FL,239,US
34145,Marco Island,FL,239,US
34146,Marco Island,FL,239,US
34201,Bradenton,FL,941,US
34202,Bradenton,FL,941,US
34203,Bradenton,FL,941,US
34204,Bradenton,FL,941,US
34205,Bradenton,FL,941,US
34206,Bradenton,FL,941,US
34207,Bradenton,FL,941,US
34208,Bradenton,FL,941,US
34209,Bradenton,FL,941,US
34210,Bradenton,FL,"7,27,941",US
34211,Bradenton,FL,941,US
34212,Bradenton,FL,941,US
34215,Cortez,FL,941,US
34216,Anna Maria,FL,941,US
34217,Bradenton Beach,FL,941,US
34218,Holmes Beach,FL,941,US
34219,Parrish,FL,941,US
34220,Palmetto,FL,941,US
34221,Palmetto,FL,941,US
34222,Ellenton,FL,941,US
34223,Englewood,FL,941,US
34224,Englewood,FL,941,US
34228,Longboat Key,FL,941,US
34229,Osprey,FL,941,US
34230,Sarasota,FL,"9,41,813",US
34231,Sarasota,FL,"8,13,941",US
34232,Sarasota,FL,"9,41,305",US
34233,Sarasota,FL,941,US
34234,Sarasota,FL,941,US
34235,Sarasota,FL,941,US
34236,Sarasota,FL,941,US
34237,Sarasota,FL,"9,41,813",US
34238,Sarasota,FL,941,US
34239,Sarasota,FL,941,US
34240,Sarasota,FL,"9,41,863",US
34241,Sarasota,FL,941,US
34242,Sarasota,FL,941,US
34243,Sarasota,FL,941,US
34250,Terra Ceia,FL,941,US
34251,Myakka City,FL,941,US
34260,Sarasota,FL,941,US
34264,Oneco,FL,941,US
34265,Arcadia,FL,863,US
34266,Arcadia,FL,863,US
34267,Fort Ogden,FL,,US
34268,Nocatee,FL,,US
34269,Arcadia,FL,"8,63,941",US
34270,Tallevast,FL,941,US
34272,Laurel,FL,941,US
34274,Nokomis,FL,941,US
34275,Nokomis,FL,941,US
34276,Sarasota,FL,941,US
34277,Sarasota,FL,941,US
34278,Sarasota,FL,941,US
34280,Bradenton,FL,941,US
34281,Bradenton,FL,941,US
34282,Bradenton,FL,941,US
34284,Venice,FL,941,US
34285,Venice,FL,941,US
34286,North Port,FL,941,US
34287,North Port,FL,941,US
34288,North Port,FL,941,US
34289,North Port,FL,941,US
34290,North Port,FL,941,US
34291,North Port,FL,941,US
34292,Venice,FL,941,US
34293,Venice,FL,941,US
34295,Englewood,FL,941,US
34420,Belleview,FL,352,US
34421,Belleview,FL,352,US
34423,Crystal River,FL,352,US
34428,Crystal River,FL,352,US
34429,Crystal River,FL,352,US
34430,Dunnellon,FL,352,US
34431,Dunnellon,FL,352,US
34432,Dunnellon,FL,"3,52,321",US
34433,Dunnellon,FL,352,US
34434,Dunnellon,FL,352,US
34436,Floral City,FL,352,US
34442,Hernando,FL,352,US
34445,Holder,FL,352,US
34446,Homosassa,FL,352,US
34447,Homosassa Springs,FL,352,US
34448,Homosassa,FL,"3,52,813",US
34449,Inglis,FL,352,US
34450,Inverness,FL,"8,13,352",US
34451,Inverness,FL,352,US
34452,Inverness,FL,352,US
34453,Inverness,FL,352,US
34460,Lecanto,FL,352,US
34461,Lecanto,FL,352,US
34464,Beverly Hills,FL,352,US
34465,Beverly Hills,FL,352,US
34470,Ocala,FL,"3,52,561",US
34471,Ocala,FL,352,US
34472,Ocala,FL,352,US
34473,Ocala,FL,352,US
34474,Ocala,FL,352,US
34475,Ocala,FL,352,US
34476,Ocala,FL,352,US
34477,Ocala,FL,352,US
34478,Ocala,FL,352,US
34479,Ocala,FL,352,US
34480,Ocala,FL,352,US
34481,Ocala,FL,352,US
34482,Ocala,FL,352,US
34483,Ocala,FL,352,US
34484,Oxford,FL,352,US
34487,Homosassa,FL,352,US
