zip,primary_city,state,area_codes,country
68455,Union,NE,402,US
68456,Utica,NE,402,US
68457,Verdon,NE,402,US
68458,Virginia,NE,402,US
68460,Waco,NE,402,US
68461,Walton,NE,402,US
68462,Waverly,NE,402,US
68463,Weeping Water,NE,402,US
68464,Western,NE,402,US
68465,Wilber,NE,402,US
68466,Wymore,NE,402,US
68467,York,NE,402,US
68501,Lincoln,NE,402,US
68502,Lincoln,NE,402,US
68503,Lincoln,NE,402,US
68504,Lincoln,NE,402,US
68505,Lincoln,NE,402,US
68506,Lincoln,NE,402,US
68507,Lincoln,NE,402,US
68508,Lincoln,NE,402,US
68509,Lincoln,NE,402,US
68510,Lincoln,NE,402,US
68512,Lincoln,NE,402,US
68514,Lincoln,NE,402,US
68516,Lincoln,NE,402,US
68517,Lincoln,NE,402,US
68520,Lincoln,NE,402,US
68521,Lincoln,NE,402,US
68522,Lincoln,NE,402,US
68523,Lincoln,NE,402,US
68524,Lincoln,NE,402,US
68526,Lincoln,NE,402,US
68527,Lincoln,NE,402,US
68528,Lincoln,NE,402,US
68529,Lincoln,NE,402,US
68531,Lincoln,NE,402,US
68532,Lincoln,NE,402,US
68542,Lincoln,NE,402,US
68583,Lincoln,NE,402,US
68588,Lincoln,NE,402,US
68601,Columbus,NE,"4,02,308",US
68602,Columbus,NE,402,US
68620,Albion,NE,"4,02,308",US
68621,Ames,NE,402,US
68622,Bartlett,NE,"3,08,402",US
68623,Belgrade,NE,308,US
68624,Bellwood,NE,402,US
68626,Brainard,NE,402,US
68627,Cedar Rapids,NE,"3,08,402",US
68628,Clarks,NE,"3,08,402",US
68629,Clarkson,NE,402,US
68631,Creston,NE,402,US
68632,David City,NE,402,US
68633,Dodge,NE,402,US
68634,Duncan,NE,402,US
68635,Dwight,NE,402,US
68636,Elgin,NE,402,US
68637,Ericson,NE,308,US
68638,Fullerton,NE,308,US
68640,Genoa,NE,"4,02,308",US
68641,Howells,NE,402,US
68642,Humphrey,NE,402,US
68643,Leigh,NE,402,US
68644,Lindsay,NE,402,US
68647,Monroe,NE,402,US
68648,Morse Bluff,NE,402,US
68649,North Bend,NE,402,US
68651,Osceola,NE,402,US
68652,Petersburg,NE,402,US
68653,Platte Center,NE,402,US
68654,Polk,NE,402,US
68655,Primrose,NE,308,US
68658,Rising City,NE,402,US
68659,Rogers,NE,402,US
68660,Saint Edward,NE,402,US
68661,Schuyler,NE,402,US
68662,Shelby,NE,402,US
68663,Silver Creek,NE,"3,08,402",US
68664,Snyder,NE,402,US
68665,Spalding,NE,308,US
68666,Stromsburg,NE,402,US
68667,Surprise,NE,402,US
68669,Ulysses,NE,402,US
68701,Norfolk,NE,402,US
68702,Norfolk,NE,402,US
68710,Allen,NE,402,US
68711,Amelia,NE,"3,08,402",US
68713,Atkinson,NE,402,US
68714,Bassett,NE,402,US
68715,Battle Creek,NE,402,US
68716,Beemer,NE,402,US
68717,Belden,NE,402,US
68718,Bloomfield,NE,402,US
68719,Bristow,NE,402,US
68720,Brunswick,NE,402,US
68722,Butte,NE,402,US
68723,Carroll,NE,402,US
68724,Center,NE,402,US
68725,Chambers,NE,402,US
68726,Clearwater,NE,402,US
68727,Coleridge,NE,402,US
68728,Concord,NE,402,US
68729,Creighton,NE,402,US
68730,Crofton,NE,402,US
68731,Dakota City,NE,402,US
68732,Dixon,NE,402,US
68733,Emerson,NE,402,US
68734,Emmet,NE,402,US
68735,Ewing,NE,402,US
68736,Fordyce,NE,402,US
68738,Hadar,NE,402,US
68739,Hartington,NE,402,US
68740,Hoskins,NE,402,US
68741,Hubbard,NE,402,US
68742,Inman,NE,402,US
68743,Jackson,NE,402,US
68745,Laurel,NE,402,US
68746,Lynch,NE,402,US
68747,Mclean,NE,402,US
68748,Madison,NE,402,US
68749,Magnet,NE,402,US
68751,Maskell,NE,402,US
68752,Meadow Grove,NE,402,US
68753,Mills,NE,402,US
68755,Naper,NE,402,US
68756,Neligh,NE,402,US
68757,Newcastle,NE,402,US
68758,Newman Grove,NE,402,US
68759,Newport,NE,402,US
68760,Niobrara,NE,402,US
68761,Oakdale,NE,402,US
68763,Oneill,NE,402,US
68764,Orchard,NE,402,US
68765,Osmond,NE,402,US
68766,Page,NE,402,US
68767,Pierce,NE,402,US
68768,Pilger,NE,402,US
68769,Plainview,NE,402,US
68770,Ponca,NE,402,US
68771,Randolph,NE,402,US
68773,Royal,NE,402,US
68774,Saint Helena,NE,402,US
68776,South Sioux City,NE,402,US
68777,Spencer,NE,402,US
68778,Springview,NE,402,US
68779,Stanton,NE,402,US
68780,Stuart,NE,402,US
68781,Tilden,NE,402,US
68783,Verdigre,NE,402,US
68784,Wakefield,NE,402,US
68785,Waterbury,NE,402,US
68786,Wausa,NE,402,US
68787,Wayne,NE,402,US
68788,West Point,NE,402,US
68789,Winnetoon,NE,402,US
68790,Winside,NE,402,US
68791,Wisner,NE,402,US
68792,Wynot,NE,402,US
