zip,primary_city,state,area_codes,country
24044,Roanoke,VA,540,US
24045,Roanoke,VA,540,US
24048,Roanoke,VA,540,US
24050,Roanoke,VA,540,US
24053,Ararat,VA,276,US
24054,Axton,VA,"2,76,434",US
24055,Bassett,VA,276,US
24058,Belspring,VA,540,US
24059,Bent Mountain,VA,540,US
24060,Blacksburg,VA,"5,40,434",US
24061,Blacksburg,VA,540,US
24062,Blacksburg,VA,540,US
24063,Blacksburg,VA,540,US
24064,Blue Ridge,VA,540,US
24065,Boones Mill,VA,540,US
24066,Buchanan,VA,540,US
24067,Callaway,VA,540,US
24068,Christiansburg,VA,540,US
24069,Cascade,VA,"2,76,434",US
24070,Catawba,VA,540,US
24072,Check,VA,540,US
24073,Christiansburg,VA,540,US
24076,Claudville,VA,276,US
24077,Cloverdale,VA,540,US
24078,Collinsville,VA,276,US
24079,Copper Hill,VA,540,US
24082,Critz,VA,276,US
24083,Daleville,VA,540,US
24084,Dublin,VA,"5,40,276",US
24085,Eagle Rock,VA,540,US
24086,Eggleston,VA,540,US
24087,Elliston,VA,540,US
24088,Ferrum,VA,"5,40,276",US
24089,Fieldale,VA,276,US
24090,Fincastle,VA,540,US
24091,Floyd,VA,540,US
24092,Glade Hill,VA,540,US
24093,Glen Lyn,VA,540,US
24095,Goodview,VA,540,US
24101,Hardy,VA,540,US
24102,Henry,VA,"5,40,276",US
24104,Huddleston,VA,540,US
24105,Indian Valley,VA,540,US
24111,Mc Coy,VA,540,US
24112,Martinsville,VA,276,US
24113,Martinsville,VA,276,US
24114,Martinsville,VA,276,US
24115,Martinsville,VA,276,US
24120,Meadows Of Dan,VA,"2,76,540",US
24121,Moneta,VA,540,US
24122,Montvale,VA,540,US
24124,Narrows,VA,540,US
24126,Newbern,VA,540,US
24127,New Castle,VA,540,US
24128,Newport,VA,540,US
24129,New River,VA,540,US
24130,Oriskany,VA,540,US
24131,Paint Bank,VA,540,US
24132,Parrott,VA,540,US
24133,Patrick Springs,VA,276,US
24134,Pearisburg,VA,540,US
24136,Pembroke,VA,540,US
24137,Penhook,VA,"5,40,434",US
24138,Pilot,VA,540,US
24139,Pittsville,VA,434,US
24141,Radford,VA,540,US
24142,Radford,VA,540,US
24143,Radford,VA,540,US
24146,Redwood,VA,540,US
24147,Rich Creek,VA,540,US
24148,Ridgeway,VA,"4,34,276",US
24149,Riner,VA,540,US
24150,Ripplemead,VA,540,US
24151,Rocky Mount,VA,540,US
24153,Salem,VA,540,US
24155,Roanoke,VA,540,US
24157,Roanoke,VA,540,US
24161,Sandy Level,VA,434,US
24162,Shawsville,VA,540,US
24165,Spencer,VA,276,US
24167,Staffordsville,VA,540,US
24168,Stanleytown,VA,276,US
24171,Stuart,VA,276,US
24174,Thaxton,VA,540,US
24175,Troutville,VA,540,US
24176,Union Hall,VA,540,US
24177,Vesta,VA,276,US
24178,Villamont,VA,540,US
24179,Vinton,VA,540,US
24184,Wirtz,VA,540,US
24185,Woolwine,VA,276,US
24201,Bristol,VA,"5,40,276",US
24202,Bristol,VA,276,US
24203,Bristol,VA,276,US
24205,Bristol,VA,276,US
24209,Bristol,VA,276,US
24210,Abingdon,VA,276,US
24211,Abingdon,VA,276,US
24212,Abingdon,VA,276,US
24215,Andover,VA,276,US
24216,Appalachia,VA,276,US
24217,Bee,VA,276,US
24218,Ben Hur,VA,276,US
24219,Big Stone Gap,VA,276,US
24220,Birchleaf,VA,276,US
24221,Blackwater,VA,276,US
24224,Castlewood,VA,276,US
24225,Cleveland,VA,276,US
24226,Clinchco,VA,276,US
24228,Clintwood,VA,276,US
24230,Coeburn,VA,276,US
24236,Damascus,VA,276,US
24237,Dante,VA,276,US
24239,Davenport,VA,276,US
24243,Dryden,VA,276,US
24244,Duffield,VA,276,US
24245,Dungannon,VA,276,US
24246,East Stone Gap,VA,276,US
24248,Ewing,VA,276,US
24250,Fort Blackmore,VA,276,US
24251,Gate City,VA,"2,76,423",US
24256,Haysi,VA,276,US
24258,Hiltons,VA,276,US
24260,Honaker,VA,276,US
24263,Jonesville,VA,276,US
24265,Keokee,VA,276,US
24266,Lebanon,VA,276,US
24269,Mc Clure,VA,276,US
24270,Mendota,VA,276,US
24271,Nickelsville,VA,276,US
24272,Nora,VA,276,US
24273,Norton,VA,276,US
24277,Pennington Gap,VA,276,US
24279,Pound,VA,276,US
24280,Rosedale,VA,276,US
24281,Rose Hill,VA,276,US
24282,Saint Charles,VA,276,US
24283,Saint Paul,VA,276,US
24290,Weber City,VA,276,US
24292,Whitetop,VA,276,US
24293,Wise,VA,276,US
24301,Pulaski,VA,540,US
24311,Atkins,VA,276,US
24312,Austinville,VA,276,US
24313,Barren Springs,VA,276,US
24314,Bastian,VA,276,US
24315,Bland,VA,276,US
24316,Broadford,VA,276,US
24317,Cana,VA,276,US
24318,Ceres,VA,276,US
24319,Chilhowie,VA,276,US
24322,Cripple Creek,VA,276,US
24323,Crockett,VA,276,US
24324,Draper,VA,"5,40,276",US
24325,Dugspur,VA,"2,76,540",US
24326,Elk Creek,VA,276,US
24327,Emory,VA,276,US
24328,Fancy Gap,VA,276,US
