zip,primary_city,state,area_codes,country
56688,Wirt,MN,218,US
56701,Thief River Falls,MN,218,US
56710,Alvarado,MN,218,US
56711,Angle Inlet,MN,218,US
56713,Argyle,MN,218,US
56714,Badger,MN,218,US
56715,Brooks,MN,218,US
56716,Crookston,MN,218,US
56720,Donaldson,MN,218,US
56721,East Grand Forks,MN,"2,18,701",US
56722,Euclid,MN,218,US
56723,Fisher,MN,218,US
56724,Gatzke,MN,218,US
56725,Goodridge,MN,218,US
56726,Greenbush,MN,218,US
56727,Grygla,MN,218,US
56728,Hallock,MN,218,US
56729,Halma,MN,218,US
56731,Humboldt,MN,218,US
56732,Karlstad,MN,218,US
56733,Kennedy,MN,218,US
56734,Lake Bronson,MN,218,US
56735,Lancaster,MN,218,US
56736,Mentor,MN,218,US
56737,Middle River,MN,218,US
56738,Newfolden,MN,218,US
56740,Noyes,MN,218,US
56741,Oak Island,MN,218,US
56742,Oklee,MN,218,US
56744,Oslo,MN,"2,18,701",US
56748,Plummer,MN,218,US
56750,Red Lake Falls,MN,218,US
56751,Roseau,MN,218,US
56754,Saint Hilaire,MN,218,US
56755,Saint Vincent,MN,218,US
56756,Salol,MN,218,US
56757,Stephen,MN,218,US
56758,Strandquist,MN,218,US
56759,Strathcona,MN,218,US
56760,Viking,MN,218,US
56761,Wannaska,MN,218,US
56762,Warren,MN,218,US
56763,Warroad,MN,218,US
56901,Parcel Return Service,DC,202,US
56902,Parcel Return Service,DC,202,US
56904,Parcel Return Service,DC,202,US
56915,Parcel Return Service,DC,202,US
56920,Parcel Return Service,DC,202,US
56933,Parcel Return Service,DC,202,US
56944,Parcel Return Service,DC,202,US
56945,Parcel Return Service,DC,202,US
56950,Parcel Return Service,DC,202,US
56965,Parcel Return Service,DC,202,US
56972,Parcel Return Service,DC,202,US
57001,Alcester,SD,605,US
57002,Aurora,SD,605,US
57003,Baltic,SD,605,US
57004,Beresford,SD,605,US
57005,Brandon,SD,605,US
57006,Brookings,SD,605,US
57007,Brookings,SD,605,US
57010,Burbank,SD,605,US
57012,Canistota,SD,605,US
57013,Canton,SD,605,US
57014,Centerville,SD,605,US
57015,Chancellor,SD,605,US
57016,Chester,SD,605,US
57017,Colman,SD,605,US
57018,Colton,SD,605,US
57020,Crooks,SD,605,US
57021,Davis,SD,605,US
57022,Dell Rapids,SD,605,US
57024,Egan,SD,605,US
57025,Elk Point,SD,605,US
57026,Elkton,SD,"6,05,507",US
57027,Fairview,SD,605,US
57028,Flandreau,SD,605,US
57029,Freeman,SD,605,US
57030,Garretson,SD,"6,05,507",US
57031,Gayville,SD,605,US
57032,Harrisburg,SD,605,US
57033,Hartford,SD,605,US
57034,Hudson,SD,"6,05,712",US
57035,Humboldt,SD,605,US
57036,Hurley,SD,605,US
57037,Irene,SD,605,US
57038,Jefferson,SD,605,US
57039,Lennox,SD,605,US
57040,Lesterville,SD,605,US
57041,Lyons,SD,605,US
57042,Madison,SD,605,US
57043,Marion,SD,605,US
57045,Menno,SD,605,US
57046,Mission Hill,SD,605,US
57047,Monroe,SD,605,US
57048,Montrose,SD,605,US
57049,North Sioux City,SD,605,US
57050,Nunda,SD,605,US
57051,Oldham,SD,605,US
57052,Olivet,SD,605,US
57053,Parker,SD,605,US
57054,Ramona,SD,605,US
57055,Renner,SD,605,US
57056,Rowena,SD,605,US
57057,Rutland,SD,605,US
57058,Salem,SD,605,US
57059,Scotland,SD,605,US
57061,Sinai,SD,605,US
57062,Springfield,SD,605,US
57063,Tabor,SD,605,US
57064,Tea,SD,605,US
57065,Trent,SD,605,US
57066,Tyndall,SD,605,US
57067,Utica,SD,605,US
57068,Valley Springs,SD,"6,05,507",US
57069,Vermillion,SD,605,US
57070,Viborg,SD,605,US
57071,Volga,SD,605,US
57072,Volin,SD,605,US
57073,Wakonda,SD,605,US
57075,Wentworth,SD,605,US
57076,Winfred,SD,605,US
57077,Worthing,SD,605,US
57078,Yankton,SD,"6,05,402",US
57079,Yankton,SD,605,US
57101,Sioux Falls,SD,605,US
57103,Sioux Falls,SD,605,US
57104,Sioux Falls,SD,605,US
57105,Sioux Falls,SD,605,US
57106,Sioux Falls,SD,605,US
57107,Sioux Falls,SD,605,US
57108,Sioux Falls,SD,605,US
57109,Sioux Falls,SD,605,US
57110,Sioux Falls,SD,605,US
57117,Sioux Falls,SD,605,US
57118,Sioux Falls,SD,605,US
57186,Sioux Falls,SD,605,US
57188,Sioux Falls,SD,605,US
57189,Sioux Falls,SD,605,US
57192,Sioux Falls,SD,605,US
57193,Sioux Falls,SD,605,US
57194,Sioux Falls,SD,605,US
57195,Sioux Falls,SD,605,US
57196,Sioux Falls,SD,605,US
57197,Sioux Falls,SD,605,US
57198,Sioux Falls,SD,605,US
57201,Watertown,SD,605,US
57212,Arlington,SD,605,US
57213,Astoria,SD,605,US
57214,Badger,SD,605,US
57216,Big Stone City,SD,605,US
57217,Bradley,SD,605,US
57218,Brandt,SD,605,US
57219,Bristol,SD,605,US
57220,Bruce,SD,605,US
57221,Bryant,SD,605,US
57223,Castlewood,SD,605,US
57224,Claire City,SD,605,US
57225,Clark,SD,605,US
57226,Clear Lake,SD,605,US
57227,Corona,SD,605,US
57231,De Smet,SD,605,US
57232,Eden,SD,605,US
57233,Erwin,SD,605,US
57234,Estelline,SD,605,US
57235,Florence,SD,605,US
57236,Garden City,SD,605,US
57237,Gary,SD,"6,05,507",US
57238,Goodwin,SD,605,US
57239,Grenville,SD,605,US
57241,Hayti,SD,605,US
57242,Hazel,SD,605,US
57243,Henry,SD,605,US
57245,Kranzburg,SD,605,US
57246,Labolt,SD,605,US
57247,Lake City,SD,605,US
57248,Lake Norden,SD,605,US
57249,Lake Preston,SD,605,US
57251,Marvin,SD,605,US
57252,Milbank,SD,605,US
57253,Milbank,SD,605,US
57255,New Effington,SD,605,US
57256,Ortley,SD,605,US
57257,Peever,SD,605,US
57258,Raymond,SD,605,US
57259,Revillo,SD,605,US
57260,Rosholt,SD,605,US
57261,Roslyn,SD,605,US
57262,Sisseton,SD,605,US
57263,South Shore,SD,605,US
57264,Stockholm,SD,605,US
57265,Strandburg,SD,605,US
57266,Summit,SD,605,US
57268,Toronto,SD,605,US
57269,Twin Brooks,SD,605,US
57270,Veblen,SD,605,US
57271,Vienna,SD,605,US
57272,Wallace,SD,605,US
57273,Waubay,SD,605,US
57274,Webster,SD,605,US
57276,White,SD,605,US
57278,Willow Lake,SD,605,US
57279,Wilmot,SD,605,US
57301,Mitchell,SD,605,US
57311,Alexandria,SD,605,US
57312,Alpena,SD,605,US
57313,Armour,SD,605,US
57314,Artesian,SD,605,US
57315,Avon,SD,605,US
57317,Bonesteel,SD,605,US
57319,Bridgewater,SD,605,US
57321,Canova,SD,605,US
57322,Carpenter,SD,605,US
57323,Carthage,SD,605,US
57324,Cavour,SD,605,US
57325,Chamberlain,SD,605,US
57326,Chamberlain,SD,605,US
57328,Corsica,SD,605,US
57329,Dante,SD,605,US
57330,Delmont,SD,605,US
57331,Dimock,SD,605,US
57332,Emery,SD,605,US
57334,Ethan,SD,605,US
57335,Fairfax,SD,605,US
57337,Fedora,SD,605,US
57339,Fort Thompson,SD,605,US
57340,Fulton,SD,605,US
57341,Gann Valley,SD,605,US
57342,Geddes,SD,605,US
57344,Harrison,SD,605,US
57345,Highmore,SD,605,US
57346,Stephan,SD,605,US
57348,Hitchcock,SD,605,US
57349,Howard,SD,605,US
57350,Huron,SD,605,US
57353,Iroquois,SD,605,US
57354,Kaylor,SD,605,US
57355,Kimball,SD,605,US
57356,Lake Andes,SD,605,US
57358,Lane,SD,605,US
57359,Letcher,SD,605,US
57361,Marty,SD,605,US
57362,Miller,SD,605,US
57363,Mount Vernon,SD,605,US
57364,New Holland,SD,605,US
57365,Oacoma,SD,605,US
57366,Parkston,SD,605,US
57367,Pickstown,SD,605,US
57368,Plankinton,SD,605,US
57369,Platte,SD,605,US
57370,Pukwana,SD,605,US
57371,Ree Heights,SD,605,US
57373,Saint Lawrence,SD,605,US
57374,Spencer,SD,605,US
57375,Stickney,SD,605,US
57376,Tripp,SD,605,US
57379,Virgil,SD,605,US
57380,Wagner,SD,605,US
57381,Wessington,SD,605,US
57382,Wessington Springs,SD,605,US
57383,White Lake,SD,605,US
57384,Wolsey,SD,605,US
57385,Woonsocket,SD,605,US
57386,Yale,SD,605,US
57399,Huron,SD,605,US
57401,Aberdeen,SD,605,US
57402,Aberdeen,SD,605,US
57420,Akaska,SD,605,US
57421,Amherst,SD,605,US
57422,Andover,SD,605,US
57424,Ashton,SD,605,US
57426,Barnard,SD,605,US
57427,Bath,SD,605,US
57428,Bowdle,SD,605,US
57429,Brentford,SD,605,US
57430,Britton,SD,605,US
57432,Claremont,SD,605,US
57433,Columbia,SD,605,US
57434,Conde,SD,605,US
57435,Cresbard,SD,605,US
57436,Doland,SD,605,US
57437,Eureka,SD,605,US
57438,Faulkton,SD,605,US
57439,Ferney,SD,605,US
57440,Frankfort,SD,605,US
57441,Frederick,SD,605,US
57442,Gettysburg,SD,605,US
57445,Groton,SD,605,US
57446,Hecla,SD,605,US
57448,Hosmer,SD,605,US
57449,Houghton,SD,605,US
57450,Hoven,SD,605,US
57451,Ipswich,SD,605,US
57452,Java,SD,605,US
57454,Langford,SD,605,US
57455,Lebanon,SD,605,US
57456,Leola,SD,605,US
57457,Long Lake,SD,605,US
57460,Mansfield,SD,605,US
57461,Mellette,SD,605,US
57465,Northville,SD,605,US
57466,Onaka,SD,605,US
57467,Orient,SD,605,US
57468,Pierpont,SD,605,US
57469,Redfield,SD,605,US
57470,Rockham,SD,605,US
57471,Roscoe,SD,605,US
57472,Selby,SD,605,US
57473,Seneca,SD,605,US
57474,Stratford,SD,605,US
57475,Tolstoy,SD,605,US
57476,Tulare,SD,605,US
57477,Turton,SD,605,US
57479,Warner,SD,605,US
57481,Westport,SD,605,US
57501,Pierre,SD,605,US
57520,Agar,SD,605,US
57521,Belvidere,SD,605,US
57522,Blunt,SD,605,US
57523,Burke,SD,605,US
57528,Colome,SD,605,US
57529,Dallas,SD,605,US
57531,Draper,SD,605,US
57532,Fort Pierre,SD,605,US
57533,Gregory,SD,605,US
57534,Hamill,SD,605,US
57536,Harrold,SD,605,US
57537,Hayes,SD,605,US
57538,Herrick,SD,605,US
57540,Holabird,SD,605,US
57541,Ideal,SD,605,US
57543,Kadoka,SD,605,US
57544,Kennebec,SD,605,US
57547,Long Valley,SD,605,US
57548,Lower Brule,SD,605,US
57551,Martin,SD,605,US
57552,Midland,SD,605,US
57553,Milesville,SD,605,US
57555,Mission,SD,605,US
57559,Murdo,SD,605,US
57560,Norris,SD,605,US
57562,Okaton,SD,605,US
57563,Okreek,SD,605,US
57564,Onida,SD,605,US
57566,Parmelee,SD,605,US
57567,Philip,SD,605,US
57568,Presho,SD,605,US
57569,Reliance,SD,605,US
57570,Rosebud,SD,605,US
57571,Saint Charles,SD,605,US
57572,Saint Francis,SD,605,US
57574,Tuthill,SD,605,US
57576,Vivian,SD,605,US
57577,Wanblee,SD,605,US
57579,White River,SD,605,US
57580,Winner,SD,605,US
57584,Witten,SD,605,US
57585,Wood,SD,605,US
57601,Mobridge,SD,605,US
57620,Bison,SD,605,US
57621,Bullhead,SD,605,US
57622,Cherry Creek,SD,605,US
57623,Dupree,SD,605,US
57625,Eagle Butte,SD,605,US
57626,Faith,SD,605,US
57630,Glencross,SD,605,US
57631,Glenham,SD,605,US
57632,Herreid,SD,605,US
57633,Isabel,SD,605,US
57634,Keldron,SD,605,US
57636,Lantry,SD,605,US
57638,Lemmon,SD,"7,01,605",US
57639,Little Eagle,SD,605,US
57640,Lodgepole,SD,605,US
57641,Mc Intosh,SD,605,US
57642,Mc Laughlin,SD,605,US
57644,Meadow,SD,605,US
57645,Morristown,SD,605,US
57646,Mound City,SD,605,US
57648,Pollock,SD,605,US
57649,Prairie City,SD,605,US
57650,Ralph,SD,605,US
57651,Reva,SD,605,US
57652,Ridgeview,SD,605,US
57656,Timber Lake,SD,605,US
57657,Trail City,SD,605,US
57658,Wakpala,SD,605,US
57659,Walker,SD,605,US
57660,Watauga,SD,605,US
57661,Whitehorse,SD,605,US
57701,Rapid City,SD,605,US
57702,Rapid City,SD,605,US
57703,Rapid City,SD,605,US
57706,Ellsworth Afb,SD,605,US
57709,Rapid City,SD,605,US
57714,Allen,SD,605,US
57716,Batesland,SD,605,US
57717,Belle Fourche,SD,"6,05,307",US
57718,Black Hawk,SD,605,US
57719,Box Elder,SD,605,US
57720,Buffalo,SD,605,US
57722,Buffalo Gap,SD,605,US
57724,Camp Crook,SD,"6,05,406",US
57725,Caputa,SD,605,US
57730,Custer,SD,605,US
57732,Deadwood,SD,605,US
57735,Edgemont,SD,"60,53,07,308",US
57737,Enning,SD,605,US
57738,Fairburn,SD,605,US
57741,Fort Meade,SD,605,US
57744,Hermosa,SD,605,US
57745,Hill City,SD,605,US
57747,Hot Springs,SD,605,US
57748,Howes,SD,605,US
57750,Interior,SD,605,US
57751,Keystone,SD,605,US
57752,Kyle,SD,605,US
57754,Lead,SD,605,US
57755,Ludlow,SD,605,US
57756,Manderson,SD,605,US
57758,Mud Butte,SD,605,US
57759,Nemo,SD,605,US
57760,Newell,SD,605,US
57761,New Underwood,SD,605,US
57762,Nisland,SD,605,US
57763,Oelrichs,SD,605,US
57764,Oglala,SD,605,US
57766,Oral,SD,605,US
57767,Owanka,SD,605,US
57769,Piedmont,SD,605,US
57770,Pine Ridge,SD,605,US
57772,Porcupine,SD,605,US
57773,Pringle,SD,605,US
57775,Quinn,SD,605,US
57776,Redig,SD,605,US
57779,Saint Onge,SD,605,US
57780,Scenic,SD,605,US
57782,Smithwick,SD,605,US
57783,Spearfish,SD,605,US
57785,Sturgis,SD,605,US
57787,Union Center,SD,605,US
57788,Vale,SD,605,US
57790,Wall,SD,605,US
57791,Wasta,SD,605,US
57792,White Owl,SD,605,US
57793,Whitewood,SD,605,US
57794,Wounded Knee,SD,605,US
57799,Spearfish,SD,605,US
58001,Abercrombie,ND,701,US
58002,Absaraka,ND,701,US
58004,Amenia,ND,701,US
58005,Argusville,ND,701,US
58006,Arthur,ND,701,US
58007,Ayr,ND,701,US
58008,Barney,ND,701,US
58009,Blanchard,ND,701,US
58011,Buffalo,ND,701,US
58012,Casselton,ND,701,US
58013,Cayuga,ND,701,US
58015,Christine,ND,701,US
58016,Clifford,ND,701,US
58017,Cogswell,ND,701,US
58018,Colfax,ND,701,US
58021,Davenport,ND,701,US
58027,Enderlin,ND,701,US
58029,Erie,ND,701,US
58030,Fairmount,ND,701,US
58031,Fingal,ND,701,US
58032,Forman,ND,701,US
58033,Fort Ransom,ND,701,US
58035,Galesburg,ND,701,US
58036,Gardner,ND,701,US
58038,Grandin,ND,701,US
58040,Gwinner,ND,701,US
58041,Hankinson,ND,701,US
58042,Harwood,ND,701,US
58043,Havana,ND,701,US
58045,Hillsboro,ND,701,US
58046,Hope,ND,701,US
58047,Horace,ND,701,US
58048,Hunter,ND,701,US
58049,Kathryn,ND,701,US
58051,Kindred,ND,701,US
58052,Leonard,ND,701,US
58053,Lidgerwood,ND,701,US
58054,Lisbon,ND,701,US
58056,Luverne,ND,701,US
58057,Mcleod,ND,701,US
58058,Mantador,ND,701,US
58059,Mapleton,ND,701,US
58060,Milnor,ND,701,US
58061,Mooreton,ND,701,US
58062,Nome,ND,701,US
58063,Oriska,ND,701,US
58064,Page,ND,701,US
58065,Pillsbury,ND,701,US
58067,Rutland,ND,701,US
58068,Sheldon,ND,701,US
58069,Stirum,ND,701,US
58071,Tower City,ND,701,US
58072,Valley City,ND,701,US
58074,Wahpeton,ND,701,US
58075,Wahpeton,ND,701,US
58076,Wahpeton,ND,701,US
58077,Walcott,ND,701,US
58078,West Fargo,ND,701,US
58079,Wheatland,ND,701,US
58081,Wyndmere,ND,701,US
58102,Fargo,ND,701,US
58103,Fargo,ND,701,US
58104,Fargo,ND,701,US
58105,Fargo,ND,701,US
58106,Fargo,ND,701,US
58107,Fargo,ND,701,US
58108,Fargo,ND,701,US
58109,Fargo,ND,701,US
58121,Fargo,ND,701,US
58122,Fargo,ND,701,US
58124,Fargo,ND,701,US
58125,Fargo,ND,701,US
58126,Fargo,ND,701,US
58201,Grand Forks,ND,701,US
58202,Grand Forks,ND,701,US
58203,Grand Forks,ND,701,US
58204,Grand Forks Afb,ND,701,US
58205,Grand Forks Afb,ND,701,US
58206,Grand Forks,ND,701,US
58207,Grand Forks,ND,701,US
58208,Grand Forks,ND,701,US
58210,Adams,ND,701,US
58212,Aneta,ND,701,US
58214,Arvilla,ND,701,US
58216,Bathgate,ND,701,US
58218,Buxton,ND,701,US
58219,Caledonia,ND,701,US
58220,Cavalier,ND,701,US
58222,Crystal,ND,701,US
58223,Cummings,ND,701,US
