zip,primary_city,state,area_codes,country
95110,San Jose,CA,"4,08,65,08,31,714",US
95111,San Jose,CA,408,US
95112,San Jose,CA,"40,82,09,41,56,50,916",US
95113,San Jose,CA,"4,08,650",US
95115,San Jose,CA,408,US
95116,San Jose,CA,408,US
95117,San Jose,CA,408,US
95118,San Jose,CA,408,US
95119,San Jose,CA,408,US
95120,San Jose,CA,408,US
95121,San Jose,CA,408,US
95122,San Jose,CA,"6,50,408",US
95123,San Jose,CA,408,US
95124,San Jose,CA,"4,08,650",US
95125,San Jose,CA,"4,08,831",US
95126,San Jose,CA,408,US
95127,San Jose,CA,408,US
95128,San Jose,CA,"4,08,714",US
95129,San Jose,CA,"40,85,10,831",US
95130,San Jose,CA,"4,08,510",US
95131,San Jose,CA,"4,08,650",US
95132,San Jose,CA,408,US
95133,San Jose,CA,408,US
95134,San Jose,CA,408,US
95135,San Jose,CA,408,US
95136,San Jose,CA,408,US
95138,San Jose,CA,408,US
95139,San Jose,CA,408,US
95140,Mount Hamilton,CA,408,US
95141,San Jose,CA,408,US
95148,San Jose,CA,408,US
95150,San Jose,CA,408,US
95151,San Jose,CA,408,US
95152,San Jose,CA,408,US
95153,San Jose,CA,408,US
95154,San Jose,CA,408,US
95155,San Jose,CA,408,US
95156,San Jose,CA,408,US
95157,San Jose,CA,408,US
95158,San Jose,CA,408,US
95159,San Jose,CA,408,US
95160,San Jose,CA,408,US
95161,San Jose,CA,408,US
95164,San Jose,CA,408,US
95170,San Jose,CA,650,US
95172,San Jose,CA,408,US
95173,San Jose,CA,408,US
95190,San Jose,CA,408,US
95191,San Jose,CA,408,US
95192,San Jose,CA,408,US
95193,San Jose,CA,408,US
95194,San Jose,CA,408,US
95196,San Jose,CA,408,US
95201,Stockton,CA,209,US
95202,Stockton,CA,"2,09,530",US
95203,Stockton,CA,209,US
95204,Stockton,CA,"2,09,530",US
95205,Stockton,CA,209,US
95206,Stockton,CA,209,US
95207,Stockton,CA,"2,09,530",US
95208,Stockton,CA,209,US
95209,Stockton,CA,209,US
95210,Stockton,CA,209,US
95211,Stockton,CA,209,US
95212,Stockton,CA,"2,09,510",US
95213,Stockton,CA,209,US
95215,Stockton,CA,209,US
95219,Stockton,CA,209,US
95220,Acampo,CA,209,US
95221,Altaville,CA,209,US
95222,Angels Camp,CA,209,US
95223,Arnold,CA,209,US
95224,Avery,CA,209,US
95225,Burson,CA,209,US
95226,Campo Seco,CA,209,US
95227,Clements,CA,209,US
95228,Copperopolis,CA,209,US
95229,Douglas Flat,CA,209,US
95230,Farmington,CA,209,US
95231,French Camp,CA,209,US
95232,Glencoe,CA,209,US
95233,Hathaway Pines,CA,209,US
95234,Holt,CA,209,US
95236,Linden,CA,209,US
95237,Lockeford,CA,209,US
95240,Lodi,CA,209,US
95241,Lodi,CA,209,US
95242,Lodi,CA,209,US
95245,Mokelumne Hill,CA,209,US
95246,Mountain Ranch,CA,209,US
95247,Murphys,CA,209,US
95248,Rail Road Flat,CA,209,US
95249,San Andreas,CA,"2,09,916",US
95250,San Andreas,CA,209,US
95251,Vallecito,CA,209,US
95252,Valley Springs,CA,209,US
95253,Victor,CA,209,US
95254,Wallace,CA,209,US
