zip,primary_city,state,area_codes,country
46175,Russellville,IN,765,US
46176,Shelbyville,IN,"31,77,65,812",US
46180,Stilesville,IN,317,US
46181,Trafalgar,IN,"3,17,812",US
46182,Waldron,IN,765,US
46183,West Newton,IN,317,US
46184,Whiteland,IN,317,US
46186,Wilkinson,IN,"7,65,317",US
46201,Indianapolis,IN,"3,17,765",US
46202,Indianapolis,IN,"3,17,765",US
46203,Indianapolis,IN,317,US
46204,Indianapolis,IN,317,US
46205,Indianapolis,IN,317,US
46206,Indianapolis,IN,317,US
46207,Indianapolis,IN,317,US
46208,Indianapolis,IN,317,US
46209,Indianapolis,IN,317,US
46211,Indianapolis,IN,317,US
46214,Indianapolis,IN,317,US
46216,Indianapolis,IN,317,US
46217,Indianapolis,IN,317,US
46218,Indianapolis,IN,317,US
46219,Indianapolis,IN,"3,17,765",US
46220,Indianapolis,IN,"31,77,65,812",US
46221,Indianapolis,IN,317,US
46222,Indianapolis,IN,"3,17,312",US
46223,Indianapolis,IN,317,US
46224,Indianapolis,IN,317,US
46225,Indianapolis,IN,"3,17,765",US
46226,Indianapolis,IN,317,US
46227,Indianapolis,IN,317,US
46228,Indianapolis,IN,317,US
46229,Indianapolis,IN,317,US
46230,Indianapolis,IN,317,US
46231,Indianapolis,IN,317,US
46234,Indianapolis,IN,317,US
46235,Indianapolis,IN,317,US
46236,Indianapolis,IN,"7,65,317",US
46237,Indianapolis,IN,317,US
46239,Indianapolis,IN,317,US
46240,Indianapolis,IN,317,US
46241,Indianapolis,IN,317,US
46242,Indianapolis,IN,317,US
46244,Indianapolis,IN,317,US
46247,Indianapolis,IN,317,US
46249,Indianapolis,IN,317,US
46250,Indianapolis,IN,317,US
46251,Indianapolis,IN,317,US
46253,Indianapolis,IN,317,US
46254,Indianapolis,IN,317,US
46255,Indianapolis,IN,317,US
46256,Indianapolis,IN,317,US
46259,Indianapolis,IN,317,US
46260,Indianapolis,IN,"3,17,765",US
46262,Indianapolis,IN,317,US
46266,Indianapolis,IN,317,US
46268,Indianapolis,IN,317,US
46274,Indianapolis,IN,317,US
46275,Indianapolis,IN,317,US
46277,Indianapolis,IN,317,US
46278,Indianapolis,IN,317,US
46280,Indianapolis,IN,317,US
46282,Indianapolis,IN,317,US
46283,Indianapolis,IN,317,US
46285,Indianapolis,IN,317,US
46290,Indianapolis,IN,317,US
46291,Indianapolis,IN,317,US
46295,Indianapolis,IN,317,US
46296,Indianapolis,IN,317,US
46298,Indianapolis,IN,317,US
46301,Beverly Shores,IN,219,US
46302,Boone Grove,IN,219,US
46303,Cedar Lake,IN,219,US
46304,Chesterton,IN,219,US
46307,Crown Point,IN,219,US
46308,Crown Point,IN,219,US
46310,Demotte,IN,219,US
46311,Dyer,IN,219,US
46312,East Chicago,IN,219,US
46319,Griffith,IN,219,US
46320,Hammond,IN,219,US
46321,Munster,IN,219,US
46322,Highland,IN,219,US
46323,Hammond,IN,219,US
46324,Hammond,IN,219,US
46325,Hammond,IN,219,US
46327,Hammond,IN,219,US
46340,Hanna,IN,219,US
46341,Hebron,IN,219,US
46342,Hobart,IN,219,US
46345,Kingsbury,IN,219,US
46346,Kingsford Heights,IN,219,US
46347,Kouts,IN,219,US
46348,La Crosse,IN,"2,19,574",US
46349,Lake Village,IN,219,US
46350,La Porte,IN,219,US
46352,La Porte,IN,219,US
46355,Leroy,IN,219,US
46356,Lowell,IN,219,US
46360,Michigan City,IN,219,US
46361,Michigan City,IN,219,US
46365,Mill Creek,IN,"2,19,574",US
46366,North Judson,IN,"2,19,574",US
46368,Portage,IN,219,US
46371,Rolling Prairie,IN,219,US
46372,Roselawn,IN,219,US
46373,Saint John,IN,219,US
46374,San Pierre,IN,"2,19,574",US
46375,Schererville,IN,219,US
46376,Schneider,IN,219,US
46377,Shelby,IN,219,US
46379,Sumava Resorts,IN,219,US
46380,Tefft,IN,219,US
46381,Thayer,IN,219,US
46382,Union Mills,IN,219,US
46383,Valparaiso,IN,219,US
46384,Valparaiso,IN,219,US
46385,Valparaiso,IN,219,US
46390,Wanatah,IN,219,US
46391,Westville,IN,219,US
46392,Wheatfield,IN,219,US
46393,Wheeler,IN,219,US
46394,Whiting,IN,219,US
46401,Gary,IN,219,US
46402,Gary,IN,219,US
46403,Gary,IN,219,US
46404,Gary,IN,219,US
46405,Lake Station,IN,219,US
46406,Gary,IN,219,US
46407,Gary,IN,219,US
46408,Gary,IN,219,US
46409,Gary,IN,219,US
46410,Merrillville,IN,219,US
46411,Merrillville,IN,219,US
46501,Argos,IN,574,US
46502,Atwood,IN,,US
46504,Bourbon,IN,574,US
46506,Bremen,IN,574,US
46507,Bristol,IN,574,US
46508,Burket,IN,574,US
46510,Claypool,IN,"2,60,574",US
46511,Culver,IN,574,US
46513,Donaldson,IN,574,US
