zip,primary_city,state,area_codes,country
13087,Little York,NY,607,US
13088,Liverpool,NY,315,US
13089,Liverpool,NY,315,US
13090,Liverpool,NY,315,US
13092,Locke,NY,"3,15,607",US
13093,Lycoming,NY,315,US
13101,Mc Graw,NY,607,US
13102,Mc Lean,NY,607,US
13103,Mallory,NY,315,US
13104,Manlius,NY,315,US
13107,Maple View,NY,315,US
13108,Marcellus,NY,315,US
13110,Marietta,NY,315,US
13111,Martville,NY,315,US
13112,Memphis,NY,315,US
13113,Meridian,NY,315,US
13114,Mexico,NY,315,US
13115,Minetto,NY,315,US
13116,Minoa,NY,315,US
13117,Montezuma,NY,315,US
13118,Moravia,NY,315,US
13119,Mottville,NY,315,US
13120,Nedrow,NY,"9,17,315",US
13121,New Haven,NY,315,US
13122,New Woodstock,NY,315,US
13123,North Bay,NY,315,US
13124,North Pitcher,NY,315,US
13126,Oswego,NY,315,US
13131,Parish,NY,315,US
13132,Pennellville,NY,315,US
13134,Peterboro,NY,315,US
13135,Phoenix,NY,315,US
13136,Pitcher,NY,"6,07,315",US
13137,Plainville,NY,315,US
13138,Pompey,NY,315,US
13139,Poplar Ridge,NY,315,US
13140,Port Byron,NY,315,US
13141,Preble,NY,"3,15,607",US
13142,Pulaski,NY,315,US
13143,Red Creek,NY,315,US
13144,Richland,NY,315,US
13145,Sandy Creek,NY,315,US
13146,Savannah,NY,315,US
13147,Scipio Center,NY,315,US
13148,Seneca Falls,NY,315,US
13152,Skaneateles,NY,315,US
13153,Skaneateles Falls,NY,315,US
13154,South Butler,NY,315,US
13155,South Otselic,NY,315,US
13156,Sterling,NY,315,US
13157,Sylvan Beach,NY,315,US
13158,Truxton,NY,"6,07,315",US
13159,Tully,NY,"3,15,607",US
13160,Union Springs,NY,315,US
13162,Verona Beach,NY,315,US
13163,Wampsville,NY,315,US
13164,Warners,NY,315,US
13165,Waterloo,NY,315,US
13166,Weedsport,NY,315,US
13167,West Monroe,NY,315,US
13201,Syracuse,NY,315,US
13202,Syracuse,NY,315,US
13203,Syracuse,NY,315,US
13204,Syracuse,NY,315,US
13205,Syracuse,NY,315,US
13206,Syracuse,NY,315,US
13207,Syracuse,NY,315,US
13208,Syracuse,NY,315,US
13209,Syracuse,NY,315,US
13210,Syracuse,NY,315,US
13211,Syracuse,NY,315,US
13212,Syracuse,NY,315,US
13214,Syracuse,NY,315,US
13215,Syracuse,NY,315,US
13217,Syracuse,NY,315,US
13218,Syracuse,NY,315,US
13219,Syracuse,NY,315,US
13220,Syracuse,NY,315,US
13221,Syracuse,NY,315,US
13224,Syracuse,NY,315,US
13225,Syracuse,NY,315,US
13235,Syracuse,NY,315,US
13244,Syracuse,NY,315,US
13250,Syracuse,NY,315,US
13251,Syracuse,NY,315,US
13252,Syracuse,NY,315,US
13261,Syracuse,NY,315,US
13290,Syracuse,NY,315,US
13301,Alder Creek,NY,315,US
13302,Altmar,NY,315,US
13303,Ava,NY,315,US
13304,Barneveld,NY,315,US
13305,Beaver Falls,NY,315,US
13308,Blossvale,NY,315,US
13309,Boonville,NY,315,US
13310,Bouckville,NY,315,US
13312,Brantingham,NY,315,US
13313,Bridgewater,NY,315,US
13314,Brookfield,NY,315,US
13315,Burlington Flats,NY,607,US
13316,Camden,NY,315,US
13317,Canajoharie,NY,518,US
13318,Cassville,NY,315,US
13319,Chadwicks,NY,315,US
