zip,primary_city,state,area_codes,country
80022,Commerce City,CO,"3,03,720",US
80023,Broomfield,CO,303,US
80024,Dupont,CO,303,US
80025,Eldorado Springs,CO,303,US
80026,Lafayette,CO,"7,20,303",US
80027,Louisville,CO,"3,03,720",US
80028,Louisville,CO,303,US
80030,Westminster,CO,"3,03,720",US
80031,Westminster,CO,"3,03,720",US
80033,Wheat Ridge,CO,"3,03,720",US
80034,Wheat Ridge,CO,303,US
80035,Westminster,CO,303,US
80036,Westminster,CO,303,US
80037,Commerce City,CO,303,US
80038,Broomfield,CO,303,US
80040,Aurora,CO,"3,03,720",US
80041,Aurora,CO,303,US
80042,Aurora,CO,303,US
80044,Aurora,CO,303,US
80045,Aurora,CO,303,US
80046,Aurora,CO,303,US
80047,Aurora,CO,720,US
80101,Agate,CO,719,US
80102,Bennett,CO,303,US
80103,Byers,CO,303,US
80104,Castle Rock,CO,"3,03,720",US
80105,Deer Trail,CO,"30,39,70,719",US
80106,Elbert,CO,"3,03,719",US
80107,Elizabeth,CO,303,US
80108,Castle Rock,CO,303,US
80109,Castle Rock,CO,303,US
80110,Englewood,CO,"7,20,303",US
80111,Englewood,CO,"3,03,720",US
80112,Englewood,CO,"3,03,720",US
80113,Englewood,CO,303,US
80116,Franktown,CO,"3,03,720",US
80117,Kiowa,CO,303,US
80118,Larkspur,CO,"72,03,03,719",US
80120,Littleton,CO,"30,37,20,970",US
80121,Littleton,CO,"3,03,720",US
80122,Littleton,CO,"3,03,720",US
80123,Littleton,CO,"3,03,720",US
80124,Lone Tree,CO,"3,03,720",US
80125,Littleton,CO,"7,20,303",US
80126,Littleton,CO,"7,20,303",US
80127,Littleton,CO,"3,03,720",US
80128,Littleton,CO,"7,20,303",US
80129,Littleton,CO,"3,03,720",US
80130,Littleton,CO,"7,20,303",US
80131,Louviers,CO,303,US
80132,Monument,CO,"7,19,303",US
80133,Palmer Lake,CO,719,US
80134,Parker,CO,"3,03,720",US
80135,Sedalia,CO,"3,03,720",US
80136,Strasburg,CO,303,US
80137,Watkins,CO,303,US
80138,Parker,CO,"7,20,303",US
80150,Englewood,CO,303,US
80151,Englewood,CO,303,US
80155,Englewood,CO,303,US
80160,Littleton,CO,303,US
80161,Littleton,CO,"7,20,303",US
80162,Littleton,CO,303,US
80163,Littleton,CO,303,US
80165,Littleton,CO,303,US
80166,Littleton,CO,303,US
80201,Denver,CO,"3,03,720",US
80202,Denver,CO,"3,03,720",US
80203,Denver,CO,"3,03,720",US
80204,Denver,CO,"3,03,720",US
80205,Denver,CO,"3,03,720",US
80206,Denver,CO,"3,03,720",US
80207,Denver,CO,"3,03,720",US
80208,Denver,CO,303,US
80209,Denver,CO,"72,03,03,719",US
80210,Denver,CO,"7,20,303",US
80211,Denver,CO,"7,20,303",US
80212,Denver,CO,"7,20,303",US
80214,Denver,CO,"3,03,720",US
80215,Denver,CO,"3,03,720",US
80216,Denver,CO,"7,20,303",US
80217,Denver,CO,303,US
80218,Denver,CO,"3,03,720",US
80219,Denver,CO,"3,03,720",US
80220,Denver,CO,"3,03,720",US
80221,Denver,CO,"3,03,720",US
80222,Denver,CO,"3,03,720",US
80223,Denver,CO,"7,20,303",US
80224,Denver,CO,"3,03,720",US
80225,Denver,CO,303,US
80226,Denver,CO,"3,03,720",US
80227,Denver,CO,"7,20,303",US
80228,Denver,CO,"3,03,720",US
80229,Denver,CO,"3,03,720",US
80230,Denver,CO,"7,20,303",US
80231,Denver,CO,"3,03,720",US
80232,Denver,CO,"3,03,720",US
80233,Denver,CO,"7,20,303",US
80234,Denver,CO,"3,03,720",US
80235,Denver,CO,"3,03,720",US
80236,Denver,CO,"7,20,303",US
80237,Denver,CO,"3,03,720",US
80238,Denver,CO,"3,03,720",US
80239,Denver,CO,"7,20,303",US
80241,Thornton,CO,"3,03,720",US
80243,Denver,CO,303,US
80244,Denver,CO,303,US
80246,Denver,CO,"7,20,303",US
80247,Denver,CO,303,US
80248,Denver,CO,303,US
80249,Denver,CO,"3,03,720",US
80250,Denver,CO,303,US
80251,Denver,CO,303,US
80252,Denver,CO,303,US
80256,Denver,CO,303,US
80257,Denver,CO,303,US
80259,Denver,CO,303,US
80260,Denver,CO,"7,20,303",US
80261,Denver,CO,303,US
80262,Denver,CO,303,US
80263,Denver,CO,303,US
80264,Denver,CO,303,US
80265,Denver,CO,"3,03,720",US
80266,Denver,CO,303,US
80271,Denver,CO,303,US
80273,Denver,CO,303,US
80274,Denver,CO,303,US
